time,pr_ev_0,pr_ev_1,cid,cir
1,0.011743067740151103,0.011215239565319446,-5.278281748316571e-4,0.9550519347659945
2,0.023174887891200036,0.022096938480022588,-0.001077949411177448,0.9534863160400976
3,0.034313444522809156,0.03266370359645565,-0.0016497409263535046,0.9519214421840724
4,0.04517564165663912,0.04293298725575989,-0.0022426544008792293,0.9503569995103845
5,0.055777386322926836,0.05292117559784559,-0.002856210725081243,0.948792675430415
6,0.06613366454450598,0.06264366927461207,-0.0034899952698939085,0.9472281583981295
7,0.07625861093340924,0.07211495730593975,-0.00414365362746949,0.9456631378836965
8,0.08616557251185042,0.08134868473849277,-0.004816887773357648,0.9440973043764646
9,0.09586716730459943,0.09035771469722842,-0.005509452607371013,0.9425303494170659
10,0.10537533819246003,0.0991541853575153,-0.006221152834944732,0.9409619656585845
11,0.1147014024657953,0.10774956231089339,-0.0069518401549019115,0.939391846956928
12,0.12385609747200454,0.11615468674888263,-0.007701410723121915,0.9378196884908094
13,0.13284962271083633,0.12437981984608382,-0.008469802864752518,0.9362451869119109
14,0.1416916786958089,0.13243468368546085,-0.009256995010348046,0.9346680405260676
15,0.15039150286827174,0.1403284990345567,-0.010063003833715056,0.9330879495065006
16,0.1589579028223157,0.14807002025097804,-0.01088788257133766,0.9315046161403613
17,0.16739928707341456,0.15566756756834477,-0.011731719505069793,0.9299177451100809
18,0.1757236935810108,0.16312905698965108,-0.012594636591359731,0.9283270438112351
19,0.18393881621492236,0.17046202799329702,-0.013476788221625347,0.92673222270889
20,0.19205202933718524,0.1776736692376215,-0.014378360099563725,0.9251329957346107
21,0.20007041065450382,0.18477084243234354,-0.015299568222160276,0.9235290807265814
22,0.20800076248166255,0.19176010452967707,-0.016240657951985482,0.9219201999155303
23,0.21584963154285652,0.19864772837381584,-0.01720190316904069,0.920306080459418
24,0.22362332742577307,0.20543972193482418,-0.018183605490948884,0.9186864550301241
25,0.23132793979224764,0.2121418462415544,-0.01918609355069323,0.9170610624556463
26,0.23896935443929868,0.21875963211790728,-0.0202097223213914,0.9154296484216141
27,0.24655326829519975,0.22529839581744127,-0.02125487247775848,0.9137919662362379
28,0.254085203426872,0.23176325364290462,-0.0223219497839674,0.912147777663126
29,0.2615705201271856,0.23815913562962365,-0.02341138449756197,0.9104968538267292
30,0.26901442914365126,0.2444907983647402,-0.024523630778911065,0.9088389761955271
31,0.27642200310340426,0.2507628370079825,-0.025659166095421737,0.9071739376484327
32,0.28379818718324956,0.25697969657389996,-0.0268184906093496,0.905501543630253
33,0.29114780906779447,0.2631456825302446,-0.028002126537549854,0.9038216134024574
34,0.29847558823328624,0.2692649707623771,-0.02921061747090914,0.9021339813958978
35,0.30578614458964415,0.27534161694916837,-0.030444527640475783,0.9004384986725562
36,0.3130840065082797,0.28137956539181763,-0.03170444111646209,0.8987350345038349
37,0.320373618258593,0.2873826573332704,-0.03299096092532261,0.8970234780733612
38,0.327659346871471,0.29335463880246304,-0.03430470806900798,0.895303740312757
39,0.3349454884436661,0.2992991680144095,-0.03564632042925664,0.8935757558792976
40,0.34223627389254774,0.30521982235415446,-0.03701645153839328,0.8918394852849076
41,0.34953587416638165,0.3111201049698127,-0.03841576919656897,0.8900949171864323
42,0.35684840491094805,0.3170034509972788,-0.03984495391366927,0.8883420708476681
43,0.36417793058894543,0.3228732334366954,-0.04130469715225005,0.8865809987841591
44,0.37152846804420336,0.3287327686983952,-0.04279569934580818,0.8848117896023072
45,0.3789039894982188,0.3345853218337568,-0.04431866766446202,0.883034571044889
46,0.3863084249619133,0.34043411146422586,-0.04587431349768745,0.8812495132556059
47,0.39374566404075184,0.3462823144196233,-0.047463349621128526,0.8794568322758313
48,0.4012195571064534,0.35213307009478523,-0.04908648701166818,0.8776567937872373
49,0.408733915803432,0.35798948453152657,-0.05074443127190542,0.8758497171144726
50,0.41629251285281976,0.36385463423089137,-0.05243787862192839,0.874035979502548
51,0.4238990811114296,0.36973156969861354,-0.05416751141281606,0.872216020683996
52,0.43155731183729884,0.3756233187246679,-0.05593399311263092,0.8703903477512657
53,0.4392708521075185,0.38153288939571084,-0.057737962711807644,0.8685595403501178
54,0.44704330132789005,0.3874632728370888,-0.05958002849080124,0.8667242562100232
55,0.4548782067675834,0.39341744567891423,-0.06146076108866916,0.864885237027695
56,0.4627790580454001,0.399398372238458,-0.06338068580694212,0.8630433147199063
57,0.47074928048751885,0.4054090064087703,-0.06534027407874854,0.8611994180616046
58,0.4787922272697509,0.4114522932410105,-0.06733993402874039,0.8593545797250356
59,0.4869111702504253,0.4175311702054171,-0.06938000004500822,0.8575099437350655
60,0.49510928939313514,0.4236485681131824,-0.07146072127995273,0.8556667733551445
